;pH;sulphates;alcohol;quality
1702;3.25;0.35;8.6;4
1703;3.16;0.44;9.6;5
1704;3.16;0.45;9.6;5
1705;3.41;0.47;11.3;6
1706;3.41;0.55;9.9;6
1707;3.45;0.4;9.6;5
1708;3.36;0.6;10.6;4
1709;3.44;0.39;9.8;5
1710;3.08;0.47;10.5;5
1711;3.24;0.51;10.8;5
1712;3.22;0.51;10.0;6
1713;3.3;0.49;10.1;6
1714;3.07;0.48;9.4;5
1715;3.32;0.59;11.5;8
1716;3.26;0.5;10.8;6
1717;3.1;0.43;9.9;6
1718;3.16;0.43;9.0;4
1719;3.38;0.31;9.4;6
1720;3.46;0.44;10.8;7
1721;3.5;0.45;10.9;7
1722;3.24;0.38;12.0;6
1723;3.32;0.59;11.5;8
1724;3.47;0.42;10.5;6
1725;3.29;0.37;9.3;6
1726;3.23;0.44;11.8;6
1727;3.48;0.36;10.0;6
1728;3.07;0.48;9.4;5
1729;3.2;0.68;11.4;6
1730;2.94;0.3;10.4;6
1731;3.36;0.37;9.5;6
1732;3.14;0.32;11.9;5
1733;2.99;0.45;11.1;6
1734;3.39;0.38;9.6;6
1735;3.29;0.47;12.0;6
1736;3.14;0.42;8.7;5
1737;3.39;0.38;9.6;6
1738;3.24;0.44;10.0;5
1739;2.91;0.32;11.4;4
1740;3.14;0.45;9.6;6
1741;3.18;0.32;12.9;6
1742;3.14;0.35;9.7;6
1743;3.23;0.51;9.3;6
1744;3.1;0.3;9.1;5
1745;3.16;0.48;8.6;5
1746;3.14;0.42;9.9;5
1747;3.23;0.51;9.3;6
1748;3.28;0.42;10.9;5
1749;3.2;0.43;10.2;6
1750;3.11;0.57;9.7;6
1751;3.38;0.51;11.4;7
1752;3.24;0.54;9.5;6
1753;3.42;0.54;10.2;7
1754;3.31;0.43;11.1;6
1755;3.14;0.35;9.7;6
1756;3.22;0.43;9.3;5
1757;3.17;0.44;8.8;5
1758;2.8;0.46;10.6;5
1759;3.17;0.44;9.3;5
1760;3.31;0.35;10.2;6
1761;3.16;0.51;10.2;6
1762;3.46;0.42;11.0;7
1763;3.4;0.5;9.6;6
1764;3.22;0.43;9.3;5
1765;3.17;0.44;8.8;5
1766;3.17;0.45;8.8;5
1767;3.28;0.69;8.9;5
1768;3.17;0.38;10.0;5
1769;3.16;0.56;12.2;7
1770;3.04;0.42;10.9;6
1771;3.34;0.72;9.5;6
1772;3.04;0.43;10.9;6
1773;3.04;0.42;10.9;6
1774;3.16;0.4;10.8;6
1775;3.24;0.4;12.0;6
1776;3.56;0.47;9.8;5
1777;3.34;0.72;9.5;6
1778;3.42;0.69;11.0;8
1779;3.42;0.69;11.0;8
1780;3.24;0.38;9.8;5
1781;3.49;0.44;10.5;4
1782;3.05;0.37;11.4;6
1783;3.27;0.57;10.1;6
1784;3.33;0.46;11.6;7
1785;3.05;0.37;11.4;6
1786;3.07;0.52;11.8;7
1787;3.33;0.43;12.1;7
1788;3.16;0.34;12.0;5
1789;3.08;0.74;12.1;7
1790;3.15;0.46;9.1;5
1791;3.36;0.5;9.3;5
1792;3.2;0.53;10.4;6
1793;3.27;0.64;9.1;5
1794;3.32;0.54;9.4;5
1795;3.16;0.47;9.6;6
1796;3.19;0.62;12.0;5
1797;3.27;0.34;11.3;8
1798;3.06;0.41;8.7;6
1799;3.39;0.58;9.9;6
1800;3.08;0.4;9.3;6
1801;3.07;0.32;9.5;5
1802;3.06;0.41;8.7;6
1803;3.39;0.58;9.9;6
1804;3.08;0.4;9.3;6
1805;3.16;0.39;9.4;5
1806;3.15;0.41;9.4;5
1807;3.28;0.79;8.8;6
1808;3.16;0.39;9.4;5
1809;3.28;0.79;8.8;6
1810;3.18;0.41;9.9;6
1811;3.15;0.41;9.4;5
1812;3.29;0.37;12.6;6
1813;3.19;0.43;11.1;6
1814;3.0;0.32;12.8;7
1815;3.09;0.53;12.0;6
1816;3.36;0.5;12.0;7
1817;3.19;0.34;9.2;4
1818;3.38;0.44;12.3;6
1819;3.19;0.41;13.0;6
1820;3.09;0.53;12.0;6
1821;3.07;0.38;10.9;5
1822;3.0;0.32;12.8;7
1823;3.36;0.54;10.0;6
1824;3.22;0.32;9.0;5
1825;3.42;0.6;10.4;5
1826;3.22;0.32;9.0;5
1827;3.36;0.54;10.0;6
1828;3.36;0.54;10.0;6
1829;3.12;0.43;11.3;7
1830;3.12;0.43;11.3;7
1831;3.13;0.51;12.0;7
1832;3.12;0.43;11.3;7
1833;3.13;0.51;12.0;7
1834;3.6;0.41;10.6;6
1835;2.99;0.56;9.3;5
1836;3.04;0.54;9.4;6
1837;3.27;0.64;11.0;7
1838;3.44;0.55;9.3;6
1839;3.04;0.54;9.4;6
1840;3.42;0.51;10.5;5
1841;3.27;0.64;11.0;7
1842;3.07;0.52;9.5;6
1843;3.33;0.77;11.2;6
1844;3.29;0.62;12.3;6
1845;3.27;0.44;9.0;5
1846;3.07;0.38;9.0;5
1847;3.27;0.44;9.0;5
1848;2.98;0.82;9.0;5
1849;3.25;0.42;11.4;6
1850;3.2;0.42;11.0;7
1851;3.29;0.62;12.3;6
1852;3.6;0.67;10.4;7
1853;3.28;0.59;10.3;5
1854;3.29;0.55;10.5;7
1855;3.14;0.45;9.8;6
1856;3.11;0.46;10.0;4
1857;3.14;0.47;9.7;5
1858;3.13;0.47;9.7;5
1859;3.14;0.45;9.8;6
1860;3.32;0.66;10.5;6
1861;3.14;0.46;10.0;6
1862;3.24;0.92;11.5;7
1863;3.24;0.39;9.5;5
1864;3.43;0.61;10.5;6
1865;3.12;0.43;10.2;6
1866;3.34;0.5;9.8;6
1867;3.1;0.37;11.6;6
1868;3.15;0.38;11.8;7
1869;3.04;0.37;10.1;7
1870;3.31;0.5;10.3;6
1871;3.34;0.49;10.4;6
1872;3.09;0.46;8.9;5
1873;3.09;0.46;8.9;5
1874;3.06;0.31;10.8;5
1875;3.38;0.6;9.2;5
1876;3.18;0.49;9.6;6
1877;3.08;0.37;10.4;6
1878;3.03;0.57;8.7;6
1879;3.06;0.36;9.2;6
1880;3.18;0.63;9.2;5
1881;3.06;0.36;9.2;6
1882;3.18;0.63;9.2;5
1883;3.18;0.63;9.2;5
1884;3.4;0.39;10.2;5
1885;3.06;0.36;9.2;6
1886;3.2;0.32;9.0;5
1887;3.37;0.43;9.7;5
1888;3.34;0.42;9.6;5
1889;3.14;0.76;10.0;5
1890;3.18;0.63;9.2;5
1891;3.18;0.64;9.1;5
1892;3.3;0.41;8.7;5
1893;3.3;0.41;8.7;5
1894;3.14;0.44;9.5;5
1895;2.93;0.49;9.5;6
1896;2.9;0.41;8.9;6
1897;2.9;0.41;8.9;6
1898;3.29;0.64;9.9;6
1899;3.29;0.62;12.6;7
1900;2.72;0.43;9.7;6
1901;2.96;0.34;10.4;5
1902;2.93;0.49;9.1;6
1903;3.01;0.55;10.4;5
1904;2.93;0.49;9.5;6
1905;2.9;0.41;8.9;6
1906;3.16;0.69;10.6;5
1907;3.12;0.59;12.0;7
1908;2.93;0.59;12.5;7
1909;3.21;0.39;9.6;5
1910;3.08;0.42;9.2;5
1911;3.04;0.74;9.9;6
1912;2.96;0.46;11.7;6
1913;3.09;0.5;9.6;6
1914;3.0;0.37;12.0;6
1915;2.93;0.59;12.5;7
1916;3.08;0.42;9.2;5
1917;3.04;0.74;9.9;6
1918;3.17;0.58;8.9;6
1919;3.24;0.66;9.0;6
1920;3.03;0.49;10.2;7
1921;3.21;0.39;9.6;5
1922;3.29;0.41;9.4;5
1923;2.97;0.48;10.4;5
1924;3.15;0.4;10.4;4
1925;3.16;0.43;10.0;6
1926;3.16;0.43;10.0;6
1927;3.05;0.41;10.5;5
1928;3.23;0.39;11.4;6
1929;3.08;0.4;10.2;5
1930;3.04;0.41;10.4;6
1931;3.24;0.37;11.0;3
1932;2.89;0.34;10.1;6
1933;3.0;0.35;9.2;5
1934;3.23;0.66;10.3;6
1935;3.08;0.4;10.2;5
1936;3.04;0.41;10.4;6
1937;3.23;0.39;11.1;7
1938;3.33;0.34;9.9;5
1939;3.14;0.38;9.0;5
1940;2.93;0.64;8.6;5
1941;3.14;0.38;9.0;5
1942;2.93;0.64;8.6;5
1943;3.18;0.52;9.5;5
1944;3.02;0.4;9.0;5
1945;2.99;0.58;10.0;6
1946;3.6;0.43;9.0;6
1947;3.02;0.4;9.0;5
1948;3.34;0.57;10.2;7
1949;3.04;0.44;9.6;5
1950;2.96;0.46;9.7;5
1951;3.02;0.49;10.2;4
1952;3.01;0.34;13.0;7
1953;3.37;0.74;10.8;6
1954;2.96;0.46;9.7;5
1955;2.89;0.57;9.0;5
1956;3.37;0.4;9.9;5
1957;3.29;0.38;9.2;6
1958;2.96;0.58;8.7;6
1959;2.79;0.37;10.1;5
1960;2.79;0.37;10.1;5
1961;2.9;0.64;9.5;5
1962;3.17;0.57;9.9;5
1963;2.96;0.58;8.7;6
1964;3.19;0.46;9.0;5
1965;3.03;0.38;8.6;6
1966;3.12;0.35;10.5;6
1967;3.09;0.56;9.5;7
1968;3.43;0.53;10.1;6
1969;3.53;0.79;11.7;7
1970;3.23;0.47;10.7;6
1971;3.53;0.79;11.7;7
1972;3.15;0.42;9.2;5
1973;3.17;0.39;8.8;5
1974;3.17;0.39;8.8;5
1975;3.24;0.43;9.5;6
1976;3.57;0.55;10.2;5
1977;3.25;0.5;9.1;6
1978;3.19;0.54;10.5;6
1979;3.09;0.46;9.0;6
1980;3.14;0.46;8.9;8
1981;3.14;0.46;8.9;8
1982;3.14;0.46;8.9;8
1983;3.14;0.46;8.9;8
1984;3.14;0.46;8.9;8
1985;3.2;0.62;9.1;6
1986;3.2;0.53;10.1;6
1987;3.12;0.55;10.0;5
1988;3.11;0.53;9.5;6
1989;3.08;0.31;12.3;7
1990;3.24;0.52;9.1;4
1991;3.14;0.46;8.9;8
1992;3.5;0.44;9.6;5
1993;3.13;0.45;11.6;6
1994;3.34;0.67;8.8;6
1995;3.34;0.82;8.9;6
1996;3.34;0.67;8.8;6
1997;3.34;0.82;8.9;6
1998;3.34;0.82;8.9;6
1999;3.13;0.46;9.0;6
2000;3.19;0.46;10.0;5
2001;3.18;0.46;10.0;5
2002;3.36;0.69;11.1;6
2003;3.13;0.45;11.6;6
2004;3.42;0.68;10.6;6
2005;3.34;0.67;8.8;6
2006;3.34;0.82;8.9;6
2007;3.34;0.58;10.1;6
2008;3.52;0.47;10.0;5
2009;3.18;0.41;12.2;7
2010;3.23;0.53;11.0;6
2011;3.52;0.47;10.0;5
2012;3.37;0.45;11.1;5
2013;3.22;0.67;10.4;6
2014;2.94;0.36;11.8;5
2015;3.11;0.66;10.8;6
2016;3.3;0.38;12.5;7
2017;2.94;0.36;11.8;5
2018;3.25;0.46;11.6;7
2019;3.22;0.67;10.4;6
2020;3.19;0.7;11.5;6
2021;3.23;0.42;10.1;6
2022;3.11;0.53;9.2;6
2023;3.23;0.42;10.1;6
2024;3.07;0.64;9.2;5
2025;3.08;0.42;8.9;5
2026;3.09;0.54;10.1;5
2027;3.13;0.45;8.9;5
2028;3.1;0.45;9.7;6
2029;3.11;0.53;9.2;6
2030;3.06;0.52;11.0;6
2031;3.14;0.47;10.7;5
2032;3.24;0.54;10.8;6
2033;3.41;0.4;9.8;5
2034;3.25;0.48;11.0;5
2035;2.97;0.35;10.4;5
2036;3.8;0.41;10.2;6
2037;3.14;0.47;10.7;5
2038;3.34;0.44;9.0;5
2039;3.08;0.38;10.6;5
2040;3.22;0.59;9.5;6
2041;3.34;0.44;9.0;5
2042;3.34;0.45;9.2;6
2043;2.97;0.53;11.0;6
2044;3.28;0.63;9.9;6
2045;3.08;0.38;10.6;5
2046;3.38;0.47;9.3;5
2047;3.14;0.41;9.6;5
2048;3.14;0.42;9.5;5
2049;3.39;0.57;9.7;7
2050;2.93;0.55;9.7;3
2051;3.3;0.36;8.7;5
2052;3.3;0.36;8.7;5
2053;3.01;0.38;12.4;5
2054;3.01;0.38;12.4;5
2055;3.07;0.26;10.6;6
2056;3.3;0.36;8.7;5
2057;3.36;0.82;12.0;7
2058;3.12;0.47;9.0;5
2059;3.13;0.47;8.8;5
2060;3.22;0.56;9.5;5
2061;3.32;0.4;10.8;6
2062;3.16;0.48;11.4;5
2063;3.6;0.46;10.3;5
2064;3.3;0.75;9.5;6
2065;3.15;0.44;9.9;5
2066;3.16;0.39;10.2;5
2067;3.16;0.39;10.2;5
2068;3.44;0.37;11.0;6
2069;3.22;0.34;12.1;7
2070;3.26;0.51;9.1;6
2071;3.26;0.68;9.5;6
2072;3.27;0.76;9.5;5
2073;3.31;0.79;9.8;5
2074;3.3;0.75;9.5;6
2075;3.6;0.46;10.3;5
2076;3.3;0.67;9.6;5
2077;3.52;0.54;10.2;6
2078;3.68;0.72;10.5;6
2079;3.32;0.41;10.4;4
2080;3.3;0.67;9.6;5
2081;3.22;0.33;10.7;5
2082;3.15;0.34;10.5;6
2083;2.85;0.42;10.6;5
2084;3.29;0.76;9.6;6
2085;3.29;0.76;9.6;6
2086;3.14;0.58;9.5;5
2087;3.12;0.58;9.4;6
2088;3.22;0.38;9.8;6
2089;3.29;0.76;9.6;6
2090;3.16;0.44;9.2;5
2091;3.17;0.38;9.5;5
2092;3.34;0.38;9.2;5
2093;2.94;0.35;9.4;5
2094;2.94;0.35;9.4;5
2095;3.4;0.46;9.3;5
2096;3.19;0.4;9.1;5
2097;3.36;0.4;9.5;5
2098;3.42;0.35;9.1;6
2099;3.63;0.46;10.6;5
2100;3.36;0.4;9.5;5
2101;3.19;0.56;12.4;6
2102;3.18;0.49;8.7;5
2103;3.12;0.45;8.8;5
2104;3.63;0.46;10.6;5
2105;3.19;0.4;9.1;5
2106;3.02;0.66;9.0;5
2107;3.16;0.48;10.3;6
2108;3.42;0.35;9.1;6
2109;3.12;0.55;9.5;6
2110;3.3;0.37;8.8;5
2111;3.3;0.37;8.8;5
2112;3.3;0.37;8.8;5
2113;3.38;0.62;9.9;5
2114;3.12;0.55;9.5;6
2115;3.3;0.37;8.8;5
2116;3.14;0.37;11.7;4
2117;3.21;0.56;10.8;5
2118;3.43;0.42;12.0;6
2119;3.2;0.39;10.3;4
2120;3.05;0.38;9.0;5
2121;3.19;0.58;12.2;7
2122;3.39;0.38;9.9;5
2123;3.05;0.38;9.0;5
2124;3.19;0.58;12.2;7
2125;3.2;0.46;10.1;5
2126;3.31;0.55;9.3;5
2127;3.1;0.7;9.5;5
2128;3.43;0.5;9.2;6
2129;3.27;0.72;11.7;5
2130;3.35;0.38;11.0;5
2131;3.37;0.38;9.6;6
2132;3.37;0.38;9.6;6
2133;2.99;0.68;11.9;6
2134;3.25;0.52;10.8;6
2135;3.38;0.55;10.1;5
2136;3.25;0.52;10.9;6
2137;3.38;0.55;10.1;5
2138;3.27;0.31;10.4;5
2139;3.05;0.39;9.2;5
2140;3.27;0.5;9.6;5
2141;3.27;0.5;9.6;5
2142;3.1;0.46;9.0;5
2143;3.4;0.74;11.5;7
2144;3.17;0.48;10.2;6
2145;3.4;0.42;9.9;6
2146;3.44;0.4;9.6;6
2147;3.1;0.54;10.6;5
2148;3.05;0.39;9.2;5
2149;3.24;0.46;11.8;6
2150;3.18;0.43;12.2;6
2151;3.27;0.5;9.6;5
2152;3.2;0.41;10.6;6
2153;3.27;0.45;10.3;6
2154;3.12;0.59;10.2;4
2155;3.11;0.46;10.7;5
2156;3.05;0.31;11.7;4
2157;3.01;0.33;12.0;6
2158;3.52;0.66;10.6;6
2159;3.3;0.34;12.2;4
2160;3.47;0.48;11.0;6
2161;3.23;0.46;12.4;7
2162;2.77;0.44;9.4;6
2163;3.01;0.33;12.0;6
2164;2.96;0.35;11.6;5
2165;3.18;0.47;9.4;5
2166;3.18;0.47;9.4;5
2167;3.14;0.49;9.1;7
2168;3.14;0.49;9.1;7
2169;3.14;0.49;9.1;7
2170;3.14;0.49;9.1;7
2171;3.14;0.49;9.1;7
2172;3.23;0.37;9.2;5
2173;3.15;0.54;9.2;5
2174;3.14;0.49;9.1;7
2175;3.14;0.49;9.1;7
2176;3.23;0.37;9.2;5
2177;3.25;0.44;9.0;7
2178;3.15;0.54;9.2;5
2179;3.22;0.55;10.8;6
2180;3.4;0.46;9.5;6
2181;3.11;0.4;11.0;6
2182;3.24;0.47;10.0;5
2183;3.22;0.47;9.5;5
2184;3.29;0.47;10.1;6
2185;3.19;0.44;9.5;7
2186;3.08;0.53;9.5;5
2187;3.11;0.42;9.5;5
2188;3.35;0.49;9.4;6
2189;2.92;0.54;9.4;6
2190;3.31;0.51;12.7;6
2191;3.09;0.32;9.7;5
2192;3.27;0.51;9.7;6
2193;2.92;0.54;9.4;6
2194;3.35;0.49;9.4;6
2195;3.11;0.42;9.5;5
2196;3.1;0.38;11.7;6
2197;3.09;0.37;11.7;6
2198;3.16;0.52;9.7;5
2199;3.24;0.52;9.5;6
2200;3.25;0.53;9.1;5
2201;3.23;0.67;10.3;6
2202;3.16;0.52;9.7;5
2203;3.21;0.55;9.9;5
2204;3.22;0.56;9.9;5
2205;3.26;0.6;10.2;5
2206;3.0;0.37;12.1;6
2207;3.15;0.64;11.3;7
2208;3.19;0.49;11.4;5
2209;3.17;0.64;12.2;6
2210;3.18;0.5;9.9;7
2211;3.63;0.78;10.3;6
2212;3.17;0.64;12.2;6
2213;3.52;0.65;10.4;6
2214;3.19;0.49;11.4;5
2215;3.13;0.4;9.9;6
2216;3.32;0.62;10.0;5
2217;3.21;0.38;11.5;6
2218;3.44;0.6;10.5;6
2219;3.28;0.36;12.5;7
2220;2.98;0.44;10.5;6
2221;3.13;0.4;9.9;6
2222;3.06;0.47;11.4;7
2223;3.42;0.42;9.8;6
2224;3.06;0.47;11.4;7
2225;3.03;0.44;9.2;4
2226;3.08;0.46;8.9;5
2227;3.07;0.46;8.9;5
2228;2.92;0.59;9.5;7
2229;3.21;0.36;11.5;6
2230;2.92;0.59;9.5;7
2231;3.21;0.36;11.5;6
2232;2.96;0.45;9.5;6
2233;3.35;0.51;9.7;5
2234;3.17;0.79;9.7;5
2235;3.32;0.46;9.5;6
2236;3.16;0.5;9.4;5
2237;3.13;0.45;9.0;4
2238;3.6;0.44;10.6;6
2239;3.32;0.46;9.5;6
2240;3.16;0.49;9.1;5
2241;3.16;0.5;9.4;5
2242;3.05;0.54;8.8;5
2243;3.54;0.74;10.4;5
2244;3.13;0.51;8.9;5
2245;3.16;0.38;10.6;7
2246;3.13;0.45;9.0;4
2247;3.6;0.44;10.6;6
2248;3.28;0.45;10.6;6
2249;3.23;0.47;9.0;5
2250;3.08;0.61;8.8;6
2251;3.54;0.6;10.5;7
2252;3.16;0.52;9.5;5
2253;3.23;0.47;9.0;5
2254;3.14;0.43;10.4;6
2255;3.38;0.46;10.0;6
2256;2.97;0.68;10.4;5
2257;3.11;0.53;9.0;6
2258;3.24;0.45;9.3;5
2259;3.11;0.53;9.0;6
2260;3.24;0.45;9.3;5
2261;3.18;0.45;9.0;6
2262;3.06;0.44;11.5;6
2263;3.11;0.48;9.0;5
2264;3.52;0.77;10.4;6
2265;3.11;0.48;9.0;5
2266;3.08;0.43;10.6;5
2267;3.52;0.77;10.4;6
2268;3.47;0.4;8.5;6
2269;3.07;0.67;9.3;6
2270;3.53;0.66;10.5;7
2271;3.39;0.46;9.9;6
2272;3.4;0.42;10.4;6
2273;3.35;0.47;10.1;5
2274;3.53;0.66;10.5;7
2275;3.04;0.49;9.2;4
2276;3.17;0.44;9.4;6
2277;3.53;0.39;10.6;6
2278;3.17;0.44;9.4;6
2279;3.08;0.56;8.7;5
2280;3.61;0.54;10.2;6
2281;3.61;0.55;10.3;6
2282;3.06;0.68;9.5;5
2283;3.06;0.68;9.5;5
2284;3.06;0.68;9.5;5
2285;3.06;0.68;9.5;5
2286;3.17;0.49;9.4;5
2287;3.17;0.49;9.4;5
2288;3.06;0.68;9.5;5
2289;3.16;0.58;12.6;7
2290;3.52;0.64;10.5;7
2291;3.1;0.56;10.8;6
2292;3.18;0.46;9.9;6
2293;3.16;0.58;12.6;7
2294;3.38;0.58;12.2;7
2295;3.23;0.37;10.0;6
2296;3.29;0.57;10.6;7
2297;3.24;0.53;9.5;6
2298;3.34;0.54;12.8;8
2299;3.38;0.58;12.2;7
2300;3.34;0.44;12.6;7
2301;3.45;0.45;9.4;5
2302;3.21;0.43;9.0;5
2303;3.23;0.48;9.1;5
2304;3.06;0.4;9.4;6
2305;3.33;0.42;12.2;7
2306;3.21;0.68;10.0;5
2307;2.93;0.44;9.2;5
2308;3.11;0.49;9.3;5
2309;3.14;0.5;9.8;6
2310;2.93;0.44;9.2;5
2311;3.34;0.41;12.0;7
2312;3.11;0.49;9.3;5
2313;3.33;0.63;12.6;7
2314;3.31;0.38;12.2;6
2315;3.4;0.58;11.0;6
2316;3.25;0.39;12.0;7
2317;3.16;0.44;8.8;5
2318;3.17;0.46;8.9;4
2319;3.59;0.48;12.7;7
2320;3.1;0.67;11.8;6
2321;3.79;0.55;10.2;5
2322;3.24;0.61;9.9;6
2323;3.35;0.66;11.1;6
2324;3.22;0.48;9.4;5
2325;3.13;0.36;9.7;6
2326;3.11;0.29;9.7;5
2327;3.13;0.36;9.7;6
2328;3.11;0.29;9.7;5
2329;3.19;0.53;9.8;5
2330;3.25;0.59;9.3;6
2331;2.95;0.42;10.5;5
2332;3.47;0.59;9.3;6
2333;3.45;0.6;12.6;8
2334;3.44;0.43;8.9;5
2335;3.18;0.51;10.3;5
2336;3.29;0.67;10.6;5
2337;3.15;0.57;9.0;4
2338;3.48;0.62;9.7;5
2339;3.22;0.55;9.5;6
2340;3.49;0.59;10.3;6
2341;3.48;0.62;9.7;5
2342;3.21;0.59;12.3;8
2343;3.4;0.52;10.5;5
2344;3.22;0.55;9.5;6
2345;3.11;0.49;10.0;6
2346;3.08;0.44;8.8;4
2347;3.0;0.54;10.9;6
2348;2.95;0.77;12.2;6
2349;3.06;0.62;9.5;5
2350;3.47;0.59;10.0;5
2351;3.11;0.57;9.6;6
2352;3.13;0.46;8.7;6
2353;3.39;0.48;10.7;7
2354;3.43;0.48;11.1;6
2355;3.25;0.45;12.5;7
2356;3.3;0.5;10.4;6
2357;3.2;0.37;11.5;5
2358;3.05;0.66;9.4;5
2359;3.03;0.36;9.3;5
2360;3.17;0.49;10.1;6
2361;3.28;0.58;9.7;5
2362;3.49;0.5;10.5;6
2363;3.42;0.42;9.7;5
2364;3.59;0.51;9.2;5
2365;3.19;0.44;9.8;5
2366;3.12;0.52;9.0;5
2367;3.15;0.49;9.1;6
2368;3.25;0.37;10.4;6
2369;3.68;0.46;10.7;6
2370;3.59;0.49;10.5;7
2371;3.21;0.43;9.2;5
2372;3.28;0.4;11.5;4
2373;3.05;0.54;10.4;3
2374;3.3;0.41;12.0;6
2375;3.38;0.43;12.2;6
2376;3.3;0.41;12.0;6
2377;3.29;0.46;9.8;6
2378;3.1;0.51;9.3;5
2379;3.49;0.63;9.6;4
2380;3.49;0.64;9.5;4
2381;3.5;0.59;10.2;6
2382;3.24;0.46;10.4;8
2383;3.28;0.53;11.0;6
2384;3.24;0.46;10.4;8
2385;3.05;0.41;8.7;5
2386;3.29;0.54;9.9;4
2387;3.29;0.54;9.9;4
2388;3.06;0.45;11.3;4
2389;3.38;0.51;12.0;8
2390;3.43;0.5;10.7;8
2391;3.13;0.7;10.1;6
2392;3.25;0.49;9.6;7
2393;3.25;0.49;9.6;6
2394;3.29;0.49;8.7;5
2395;3.54;0.59;10.3;5
2396;2.98;0.66;9.1;5
2397;3.17;0.41;11.8;6
2398;3.15;0.49;11.9;6
2399;3.66;0.57;10.3;6
2400;3.09;0.66;10.0;4
2401;3.1;0.53;10.2;4
2402;3.12;0.56;10.0;6
2403;2.96;0.98;12.7;6
2404;3.04;0.67;9.6;5
2405;3.16;0.49;9.5;5
2406;3.17;0.52;12.7;6
2407;3.34;0.54;11.0;6
2408;3.1;0.5;9.1;5
2409;3.35;0.64;10.2;4
2410;3.38;0.58;10.1;6
2411;3.05;0.5;9.2;6
2412;3.47;0.66;9.4;4
2413;3.35;0.64;10.2;4
2414;3.53;0.71;9.2;4
2415;2.98;0.5;10.0;5
2416;3.38;0.58;10.1;6
2417;3.15;0.46;9.0;5
2418;3.16;0.42;9.5;5
2419;3.39;0.53;9.1;5
2420;3.05;0.46;13.3;7
2421;3.26;0.55;9.5;5
2422;3.56;0.72;9.2;5
2423;3.36;0.68;10.1;6
2424;3.56;0.72;9.2;5
2425;3.36;0.68;10.1;6
2426;3.27;0.48;11.2;6
2427;3.14;0.55;9.8;6
2428;3.27;0.48;11.2;6
2429;3.14;0.55;9.8;6
2430;3.22;0.46;9.4;5
2431;3.23;0.42;9.0;5
2432;3.21;0.47;9.4;5
2433;3.11;0.5;8.9;6
2434;3.02;0.56;9.1;6
2435;3.17;0.5;9.8;4
2436;3.17;0.43;9.4;5
2437;3.13;0.5;10.0;6
2438;3.17;0.43;9.4;5
2439;3.48;0.75;9.9;6
2440;3.14;0.47;10.0;5
2441;3.17;1.06;11.5;6
2442;3.0;0.45;9.2;5
2443;3.15;0.6;10.0;5
2444;3.0;0.45;9.2;5
2445;3.15;0.61;10.0;5
2446;3.15;0.6;10.0;5
2447;3.43;0.64;9.8;6
2448;3.36;0.62;10.5;6
2449;3.45;0.63;10.6;6
2450;3.28;0.52;9.4;5
2451;3.28;0.52;9.4;5
2452;3.38;0.54;11.0;7
2453;3.53;0.56;10.8;6
2454;3.3;0.67;9.0;5
2455;3.07;0.58;9.6;6
2456;3.19;0.54;10.6;6
2457;3.19;0.54;10.6;6
2458;3.07;0.58;9.6;6
2459;3.08;0.52;9.2;5
2460;3.08;0.52;9.2;5
2461;2.89;0.49;9.5;5
2462;2.89;0.48;9.5;5
2463;3.47;0.58;10.3;7
2464;3.08;0.46;8.8;5
2465;2.98;0.44;8.7;5
2466;2.98;0.44;8.7;5
2467;3.2;0.62;10.2;6
2468;3.25;0.51;10.1;6
2469;3.21;0.41;9.5;5
2470;3.1;0.51;9.5;5
2471;3.54;0.5;11.6;7
2472;3.13;0.4;10.7;6
2473;3.11;0.54;10.1;6
2474;3.32;0.44;11.1;7
2475;3.22;0.53;9.8;5
2476;3.08;0.49;9.0;6
2477;3.32;0.44;11.1;7
2478;3.19;0.48;9.5;6
2479;3.37;0.49;9.4;6
2480;3.24;0.61;10.2;5
2481;3.1;0.5;9.8;6
2482;3.19;0.48;9.5;6
2483;3.19;0.48;9.5;6
2484;3.17;0.49;9.0;5
2485;3.1;0.55;10.1;6
2486;3.02;0.45;8.8;5
2487;2.97;0.51;11.9;6
2488;2.97;0.51;11.9;6
2489;3.19;0.44;9.3;6
2490;3.33;0.76;10.0;6
2491;3.21;0.43;9.5;5
2492;3.19;0.44;9.3;6
2493;3.16;0.5;9.7;4
2494;3.16;0.5;9.7;4
2495;3.19;0.48;10.2;5
2496;3.11;0.4;10.8;5
2497;3.27;0.48;8.8;5
2498;3.27;0.48;8.8;5
2499;3.32;0.49;11.4;6
2500;3.27;0.48;8.8;5
2501;3.14;0.52;9.8;5
2502;3.17;0.47;9.4;4
2503;3.17;0.47;9.4;4
2504;3.21;0.43;9.4;6
2505;3.2;0.63;9.4;6
2506;3.22;0.48;9.7;6
2507;3.35;0.47;12.3;7
2508;3.33;0.43;9.8;6
2509;3.12;0.68;9.0;5
2510;3.26;0.46;9.2;6
2511;3.19;0.6;9.4;6
2512;3.28;0.48;9.9;6
2513;3.07;0.52;9.8;5
2514;3.36;0.49;12.3;7
2515;3.02;0.52;11.9;7
2516;3.27;0.64;10.2;6
2517;3.14;0.56;9.5;6
2518;3.02;0.52;11.9;7
2519;3.24;0.5;9.2;5
2520;3.18;0.49;9.7;5
2521;3.36;0.6;11.5;7
2522;3.17;0.38;10.4;8
2523;3.22;0.41;11.6;5
