;fixed acidity;volatile acidity;citric acid;residual sugar
1545;7.9;0.12;0.49;5.2
1546;6.7;0.29;0.49;4.7
1547;6.7;0.3;0.49;4.8
1548;7.1;0.36;0.24;1.8
1549;8.5;0.15;0.49;1.5
1550;7.9;0.18;0.49;5.2
1551;6.6;0.19;0.99;1.2
1552;7.3;0.21;0.49;1.8
1553;6.9;0.3;0.49;7.6
1554;7.9;0.42;0.49;8.2
1555;6.9;0.24;0.49;
1556;7.6;0.23;0.49;10.0
1557;7.9;0.18;0.49;5.2
1558;6.2;0.43;0.49;6.4
1559;8.8;0.35;0.49;1.0
1560;7.8;0.3;0.74;1.8
1561;9.1;0.28;0.49;2.0
1562;7.1;0.34;0.49;1.5
1563;7.8;0.3;0.74;1.8
1564;9.1;0.28;0.49;
1565;8.5;0.19;0.49;3.5
1566;7.6;0.18;0.49;18.05
1567;7.5;0.19;0.49;1.8
1568;7.4;0.3;0.49;8.2
1569;6.7;0.3;0.74;5.0
1570;6.6;0.3;0.74;4.6
1571;7.4;0.3;0.49;8.2
1572;6.9;0.22;0.49;7.0
1573;7.8;0.26;0.49;3.1
1574;8.5;0.17;0.49;8.8
1575;6.8;0.17;0.74;2.4
1576;6.2;0.27;0.49;1.4
1577;7.1;0.64;0.49;1.8
1578;6.4;0.18;0.74;11.9
1579;7.6;0.31;0.49;13.4
1580;9.8;0.31;0.49;15.4
1581;9.0;0.3;0.49;7.2
1582;8.4;0.24;0.49;7.4
1583;6.4;0.18;0.74;11.9
1584;6.4;0.25;0.74;7.8
1585;7.3;0.3;0.74;13.5
1586;9.3;0.31;0.49;1.3
1587;6.4;0.25;0.74;7.8
1588;7.3;0.3;0.74;13.5
1589;7.0;0.27;0.74;1.5
1590;7.9;0.14;0.74;
1591;6.4;0.12;0.49;6.4
1592;6.8;0.21;0.74;1.2
1593;8.6;0.16;0.49;7.3
1594;7.0;0.29;0.49;3.8
1595;6.4;0.27;0.49;7.3
1596;6.6;0.55;0.01;2.7
1597;6.4;0.27;0.49;7.3
1598;6.3;0.24;0.74;1.4
1599;6.7;0.33;0.49;1.6
1600;7.0;0.29;0.49;3.8
1601;8.2;0.34;0.49;8.0
1602;5.6;0.39;0.24;4.7
1603;5.6;0.41;0.24;1.9
1604;6.7;0.41;0.01;2.8
1605;7.1;0.26;0.49;2.2
1606;7.5;0.32;0.49;1.7
1607;5.8;0.19;0.49;4.9
1608;6.9;0.27;0.49;23.5
1609;8.1;0.2;0.49;11.8
1610;7.5;0.32;0.49;1.7
1611;8.2;0.26;0.49;
1612;7.8;0.26;0.49;
1613;8.0;0.14;0.49;1.5
1614;8.0;0.29;0.49;11.7
1615;7.5;0.19;0.49;1.6
1616;6.9;0.34;0.49;7.3
1617;6.2;0.2;0.49;1.6
1618;6.4;0.37;0.49;13.3
1619;6.2;0.22;0.49;6.0
1620;7.8;0.26;0.49;3.2
1621;8.9;0.32;0.49;1.6
1622;6.5;0.44;0.49;7.7
1623;7.0;0.14;0.49;5.9
1624;9.0;0.17;0.49;1.0
1625;6.4;0.26;0.49;6.4
1626;9.0;0.22;0.49;
1627;8.9;0.32;0.49;1.6
1628;8.2;0.2;0.49;3.5
1629;7.8;0.15;0.24;7.7
1630;6.9;0.25;0.24;1.8
1631;8.2;0.2;0.49;3.5
1632;7.1;0.28;0.49;6.5
1633;7.4;0.19;0.49;6.7
1634;8.3;0.25;0.49;16.8
1635;7.5;0.14;0.74;1.6
1636;7.8;0.49;0.49;7.0
1637;8.1;0.12;0.49;1.2
1638;7.6;0.47;0.49;13.0
1639;7.9;0.22;0.49;3.8
1640;7.8;0.49;0.49;7.0
1641;6.4;0.22;0.49;7.5
1642;7.3;0.19;0.49;15.55
1643;8.1;0.3;0.49;12.3
1644;7.3;0.19;0.49;15.55
1645;7.5;0.24;0.49;
1646;6.4;0.22;0.49;7.5
1647;7.8;0.21;0.49;1.2
1648;7.1;0.3;0.49;1.6
1649;6.9;0.26;0.49;1.6
1650;7.6;0.31;0.49;3.95
1651;6.4;0.42;0.74;12.8
1652;8.2;0.29;0.49;1.0
1653;7.9;0.33;0.28;31.6
1654;6.6;0.46;0.49;
1655;7.8;0.28;0.49;1.3
1656;5.8;0.15;0.49;1.1
1657;7.8;0.4;0.49;7.8
1658;6.6;0.31;0.49;7.7
1659;6.6;0.325;0.49;7.7
1660;6.6;0.27;0.49;
1661;6.7;0.26;0.49;8.3
1662;6.7;0.21;0.49;1.4
1663;7.9;0.33;0.28;31.6
1664;8.1;0.28;0.46;
1665;6.5;0.13;0.37;1.0
1666;7.8;0.445;0.56;1.0
1667;8.8;0.39;0.34;5.9
1668;7.9;0.18;0.33;1.2
1669;7.1;0.31;0.38;1.2
1670;7.8;0.24;0.18;6.7
1671;7.0;0.35;0.3;6.5
1672;6.6;0.26;0.31;4.8
1673;6.6;0.27;0.31;5.3
1674;6.8;0.22;0.29;8.9
1675;6.2;0.27;0.32;8.8
1676;7.0;0.35;0.3;6.5
1677;7.3;0.23;0.37;1.8
1678;6.2;0.3;0.2;6.6
1679;6.4;0.35;0.2;5.7
1680;7.6;0.32;0.34;18.35
1681;6.3;0.31;0.3;10.0
1682;7.2;0.25;0.28;14.4
1683;7.2;0.25;0.28;14.4
1684;7.3;0.26;0.33;17.85
1685;7.2;0.25;0.28;14.4
1686;7.4;0.26;0.37;9.4
1687;7.3;0.26;0.33;17.85
1688;6.7;0.25;0.26;1.55
1689;7.1;0.16;0.25;1.3
1690;9.0;0.43;0.3;1.5
1691;7.2;0.25;0.28;14.4
1692;7.0;0.24;0.3;4.2
1693;6.7;0.265;0.22;
1694;7.7;0.12;0.32;1.4
1695;7.2;0.21;0.33;3.0
1696;8.5;0.32;0.36;14.9
1697;6.9;0.18;0.3;2.0
1698;7.0;0.24;0.3;4.2
1699;6.3;0.26;0.29;2.2
1700;6.7;0.26;0.3;1.8
1701;7.9;0.29;0.36;11.1
1702;6.5;0.27;0.19;4.2
1703;6.7;0.33;0.42;6.4
1704;6.7;0.31;0.42;6.4
1705;6.6;0.25;0.31;
1706;6.4;0.24;0.22;1.5
1707;6.8;0.26;0.29;16.95
1708;7.0;0.61;0.26;1.7
1709;6.8;0.22;0.3;13.6
1710;8.1;0.31;0.24;1.6
1711;7.0;0.2;0.3;6.1
1712;7.9;0.18;0.37;3.0
1713;6.6;0.34;0.27;6.2
1714;6.8;0.3;0.24;6.6
1715;6.5;0.18;0.34;1.6
1716;7.0;0.21;0.31;6.0
1717;6.8;0.27;0.32;1.5
1718;9.3;0.2;0.33;1.7
1719;5.8;0.23;0.27;1.8
1720;7.6;0.2;0.39;2.6
1721;8.2;0.15;0.48;2.7
1722;7.5;0.4;1.0;19.5
1723;6.5;0.18;0.34;
1724;7.0;0.13;0.3;5.0
1725;6.9;0.17;0.22;
1726;7.0;0.3;0.32;6.4
1727;7.6;0.445;0.44;14.5
1728;6.8;0.3;0.24;6.6
1729;7.5;0.22;0.33;6.7
1730;9.2;0.23;0.3;1.1
1731;8.7;0.34;0.46;13.8
1732;6.6;0.545;0.04;2.5
1733;8.1;0.3;0.31;1.1
1734;6.9;0.16;0.3;9.6
1735;8.0;0.32;0.36;4.6
1736;6.1;0.22;0.23;3.1
1737;6.9;0.16;0.3;9.6
1738;7.5;0.15;0.38;1.8
1739;8.4;0.29;0.29;1.05
1740;6.6;0.37;0.47;6.5
1741;7.7;0.38;0.4;2.0
1742;6.3;0.25;0.23;14.9
1743;8.3;0.3;0.36;10.0
1744;6.6;0.22;0.58;1.1
1745;6.1;0.34;0.31;12.0
1746;7.5;0.22;0.29;4.8
1747;8.3;0.3;0.36;10.0
1748;8.0;0.27;0.24;1.2
1749;6.1;0.17;0.27;
1750;7.4;0.18;0.3;10.4
1751;6.7;0.16;0.28;2.5
1752;6.1;0.255;0.44;12.3
1753;7.4;0.23;0.25;1.4
1754;6.4;0.16;0.28;2.2
1755;6.3;0.25;0.23;14.9
1756;6.7;0.27;0.25;8.0
1757;6.9;0.29;0.23;8.6
1758;9.6;0.21;0.28;
1759;6.6;0.62;0.2;8.7
1760;6.4;0.28;0.19;5.4
1761;8.0;0.3;0.28;5.7
1762;6.4;0.17;0.27;1.5
1763;7.3;0.21;0.3;10.9
1764;6.7;0.27;0.25;8.0
1765;6.9;0.29;0.23;8.6
1766;6.6;0.32;0.26;7.7
1767;7.4;0.32;0.22;1.7
1768;6.6;0.37;0.07;1.4
1769;7.7;0.43;0.28;
1770;7.8;0.39;0.26;9.9
1771;6.5;0.18;0.26;1.4
1772;7.8;0.4;0.26;9.5
1773;7.8;0.39;0.26;9.9
1774;6.9;0.19;0.28;3.0
1775;7.7;0.49;1.0;19.6
1776;6.6;0.25;0.35;14.0
1777;6.5;0.18;0.26;1.4
1778;6.4;0.15;0.36;
1779;6.4;0.15;0.36;1.8
1780;8.4;0.17;0.31;
1781;6.1;0.32;0.37;
1782;8.5;0.21;0.26;9.25
1783;8.7;0.45;0.4;1.5
1784;6.7;0.24;0.29;6.8
1785;8.5;0.21;0.26;9.25
1786;7.4;0.33;0.26;2.6
1787;7.2;0.26;0.3;2.1
1788;8.2;0.36;0.29;7.6
1789;7.8;0.2;0.24;1.6
1790;9.4;0.16;0.3;1.4
1791;6.4;0.33;0.24;1.6
1792;7.8;0.22;0.36;1.4
1793;7.4;0.35;0.31;17.95
1794;6.6;0.37;0.24;2.0
1795;6.7;0.37;0.41;6.3
1796;7.1;0.37;0.32;1.4
1797;6.9;0.25;0.27;9.05
1798;6.8;0.23;0.29;15.4
1799;6.4;0.26;0.21;7.1
1800;7.6;0.3;0.22;10.2
1801;9.4;0.16;0.23;
1802;6.8;0.23;0.29;15.4
1803;6.4;0.26;0.21;7.1
1804;7.6;0.3;0.22;10.2
1805;7.5;0.33;0.39;12.4
1806;7.6;0.38;0.2;3.4
1807;8.8;0.2;0.43;15.0
1808;7.5;0.33;0.39;12.4
1809;8.8;0.2;0.43;15.0
1810;6.6;0.36;0.21;1.5
1811;7.6;0.38;0.2;3.4
1812;5.6;0.46;0.24;4.8
1813;7.2;0.15;0.38;
1814;8.2;0.42;0.29;4.1
1815;6.8;0.3;0.35;2.8
1816;6.7;0.27;0.3;13.9
1817;7.2;0.5;0.0;0.8
1818;6.0;0.26;0.29;1.0
1819;6.8;0.33;0.28;1.2
1820;6.8;0.3;0.35;2.8
1821;7.4;0.29;0.31;1.7
1822;8.2;0.42;0.29;4.1
1823;7.3;0.19;0.24;6.3
1824;6.5;0.32;0.12;11.5
1825;7.1;0.32;0.4;1.5
1826;6.5;0.32;0.12;11.5
1827;7.3;0.19;0.24;
1828;7.3;0.17;0.23;6.3
1829;7.7;0.44;0.24;11.2
1830;7.7;0.44;0.24;11.2
1831;7.4;0.49;0.24;15.1
1832;7.7;0.44;0.24;11.2
1833;7.4;0.49;0.24;15.1
1834;6.4;0.21;0.3;5.6
1835;8.0;0.55;0.42;12.6
1836;7.0;0.19;0.23;
1837;7.2;0.24;0.29;2.2
1838;6.5;0.34;0.36;11.0
1839;7.0;0.19;0.23;5.7
1840;6.9;0.18;0.33;1.0
1841;7.2;0.24;0.29;2.2
1842;8.2;0.18;0.31;11.8
1843;8.3;0.28;0.45;
1844;6.1;0.34;0.46;4.7
1845;7.4;0.44;0.2;11.5
1846;7.6;0.26;0.58;7.9
1847;7.4;0.44;0.2;
1848;8.7;0.49;0.57;17.8
1849;7.0;0.24;0.25;1.7
1850;7.1;0.25;0.25;1.6
1851;6.1;0.34;0.46;4.7
1852;6.4;0.18;0.31;1.6
1853;8.3;0.27;0.39;2.4
1854;6.8;0.24;0.35;6.4
1855;8.0;0.22;0.28;14.0
1856;10.0;0.91;0.42;1.6
1857;8.9;0.34;0.34;1.6
1858;8.9;0.33;0.34;1.4
1859;8.0;0.22;0.28;
1860;6.7;0.18;0.19;4.7
1861;7.8;0.2;0.28;10.2
1862;7.3;0.13;0.31;2.3
1863;6.6;0.28;0.3;7.8
1864;7.1;0.25;0.3;2.4
1865;7.6;0.36;0.44;8.3
1866;7.6;0.27;0.25;13.9
1867;6.9;0.37;0.28;
1868;7.4;0.21;0.27;7.3
1869;8.2;0.18;0.28;8.5
1870;6.3;0.19;0.21;1.8
1871;7.0;0.21;0.22;5.1
1872;5.8;0.33;0.2;16.05
1873;5.8;0.33;0.2;16.05
1874;7.9;0.29;0.31;7.35
1875;6.6;0.31;0.38;16.05
1876;8.0;0.19;0.3;2.0
1877;8.0;0.2;0.36;1.2
1878;8.0;0.25;0.26;14.0
1879;7.2;0.2;0.61;16.2
1880;7.7;0.3;0.42;14.3
1881;7.2;0.2;0.61;16.2
1882;7.7;0.3;0.42;
1883;7.7;0.3;0.42;14.3
1884;6.4;0.22;0.32;7.9
1885;7.2;0.2;0.61;16.2
1886;7.0;0.53;0.02;1.0
1887;7.3;0.24;0.41;13.6
1888;7.2;0.24;0.4;17.85
1889;7.6;0.15;0.4;1.3
1890;7.7;0.3;0.42;
1891;7.6;0.33;0.41;13.7
1892;6.8;0.24;0.31;18.3
1893;6.8;0.24;0.31;18.3
1894;6.8;0.35;0.44;6.5
1895;7.9;0.26;0.33;10.3
1896;7.5;0.29;0.67;8.1
1897;7.5;0.29;0.67;8.1
1898;7.2;0.31;0.41;8.6
1899;6.7;0.44;0.31;1.9
1900;10.0;0.23;0.27;
1901;7.4;0.21;0.3;7.9
1902;8.8;0.23;0.35;
1903;7.8;0.34;0.27;
1904;7.9;0.26;0.33;10.3
1905;7.5;0.29;0.67;8.1
1906;6.0;0.28;0.35;1.9
1907;7.9;0.37;0.3;2.7
1908;7.2;0.36;0.36;5.7
1909;7.6;0.13;0.34;9.3
1910;6.6;0.25;0.36;8.1
1911;7.1;0.18;0.26;1.3
1912;7.9;0.3;0.27;8.5
1913;8.3;0.23;0.3;
1914;6.8;0.43;0.3;3.5
1915;7.2;0.36;0.36;5.7
1916;6.6;0.25;0.36;8.1
1917;7.1;0.18;0.26;1.3
1918;6.6;0.35;0.29;14.4
1919;7.3;0.22;0.5;13.7
1920;8.1;0.26;0.33;
1921;7.6;0.13;0.34;9.3
1922;7.0;0.12;0.19;
1923;8.2;0.37;0.27;1.7
1924;7.6;0.26;0.36;1.6
1925;6.3;0.2;0.58;1.4
1926;6.3;0.22;0.57;1.4
1927;7.1;0.25;0.28;
1928;7.0;0.27;0.32;
1929;8.8;0.34;0.33;9.7
1930;9.2;0.27;0.34;
1931;7.1;0.49;0.22;2.0
1932;9.2;0.71;0.23;6.2
1933;7.2;0.47;0.65;8.3
1934;6.8;0.28;0.36;1.6
1935;8.8;0.34;0.33;9.7
1936;9.2;0.27;0.34;10.5
1937;7.3;0.13;0.27;4.6
1938;7.2;0.16;0.35;1.2
1939;6.8;0.31;0.32;
1940;8.3;0.36;0.57;15.0
1941;6.8;0.31;0.32;7.6
1942;8.3;0.36;0.57;15.0
1943;6.3;0.25;0.44;11.6
1944;6.0;0.45;0.42;
1945;8.1;0.26;0.3;7.8
1946;6.4;0.22;0.32;12.0
1947;5.7;0.45;0.42;
1948;7.2;0.19;0.31;1.4
1949;6.7;0.31;0.44;6.7
1950;8.0;0.25;0.13;17.2
1951;9.9;1.005;0.46;1.4
1952;8.1;0.31;0.36;8.2
1953;8.1;0.24;0.38;4.3
1954;8.0;0.25;0.13;17.2
1955;6.4;0.29;0.28;11.1
1956;7.2;0.15;0.33;1.1
1957;7.0;0.12;0.32;7.2
1958;7.4;0.32;0.55;16.6
1959;8.5;0.17;0.31;1.0
1960;8.5;0.17;0.31;1.0
1961;9.5;0.21;0.47;
1962;8.2;0.21;0.48;1.4
1963;7.4;0.32;0.55;16.6
1964;6.8;0.31;0.42;6.9
1965;6.8;0.27;0.28;13.3
1966;7.4;0.21;0.3;
1967;8.0;0.23;0.35;9.2
1968;7.6;0.2;0.31;1.4
1969;6.3;0.41;0.3;3.2
1970;8.3;0.49;0.43;2.5
1971;6.3;0.41;0.3;3.2
1972;7.6;0.2;0.26;4.5
1973;7.5;0.26;0.26;18.35
1974;7.5;0.26;0.26;18.35
1975;6.8;0.27;0.35;
1976;6.8;0.28;0.37;7.0
1977;8.4;0.2;0.27;6.3
1978;7.9;0.33;0.26;1.2
1979;7.5;0.38;0.5;12.8
1980;7.6;0.2;0.3;14.2
1981;7.6;0.2;0.3;14.2
1982;7.6;0.2;0.3;14.2
1983;7.6;0.2;0.3;14.2
1984;7.6;0.2;0.3;14.2
1985;8.1;0.19;0.58;16.65
1986;7.6;0.16;0.41;1.9
1987;8.1;0.22;0.28;7.7
1988;8.0;0.22;0.32;
1989;7.1;0.33;0.3;3.3
1990;6.4;0.43;0.27;1.1
1991;7.6;0.2;0.3;14.2
1992;7.0;0.12;0.28;6.3
1993;7.4;0.3;0.22;5.25
1994;7.0;0.28;0.33;14.6
1995;8.4;0.2;0.38;11.8
1996;7.0;0.28;0.33;14.6
1997;8.4;0.2;0.38;
1998;8.4;0.2;0.38;11.8
1999;7.3;0.18;0.31;17.3
2000;6.8;0.31;0.09;1.4
2001;6.7;0.31;0.08;1.3
2002;7.6;0.17;0.35;1.6
2003;7.4;0.3;0.22;5.25
2004;7.4;0.26;0.31;2.4
2005;7.0;0.28;0.33;14.6
2006;8.4;0.2;0.38;11.8
2007;5.6;0.18;0.31;1.5
2008;7.2;0.15;0.39;1.8
2009;8.0;0.4;0.33;7.7
2010;7.0;0.25;0.56;2.0
2011;7.2;0.15;0.39;1.8
2012;6.8;0.18;0.46;
2013;6.6;0.32;0.22;16.7
2014;9.0;0.55;0.3;8.1
2015;6.9;0.19;0.39;8.0
2016;6.3;0.41;0.33;4.7
2017;9.0;0.55;0.3;8.1
2018;7.0;0.2;0.34;2.1
2019;6.6;0.32;0.22;16.7
2020;7.7;0.26;0.34;6.4
2021;6.3;0.21;0.28;1.5
2022;7.6;0.34;0.39;7.6
2023;6.3;0.21;0.28;1.5
2024;8.0;0.43;0.4;12.4
2025;7.5;0.3;0.71;1.3
2026;6.4;0.26;0.4;1.7
2027;6.9;0.32;0.15;8.1
2028;8.9;0.21;0.34;7.1
2029;7.6;0.34;0.39;7.6
2030;9.5;0.42;0.41;
2031;7.6;0.29;0.26;6.5
2032;6.5;0.25;0.2;1.4
2033;7.2;0.23;0.33;
2034;7.9;0.35;0.36;1.6
2035;8.8;0.2;0.28;1.1
2036;5.7;0.27;0.32;1.2
2037;7.6;0.29;0.26;
2038;5.5;0.14;0.27;4.6
2039;8.7;0.24;0.35;0.6
2040;6.7;0.3;0.45;10.6
2041;5.5;0.14;0.27;4.6
2042;5.6;0.13;0.27;4.8
2043;7.4;0.18;0.34;2.7
2044;5.7;0.385;0.04;12.6
2045;8.7;0.24;0.35;
2046;8.3;0.33;0.43;9.2
2047;6.8;0.34;0.44;6.6
2048;6.8;0.33;0.44;7.0
2049;6.3;0.28;0.24;8.45
2050;11.8;0.23;0.38;11.1
2051;6.8;0.21;0.27;18.15
2052;6.8;0.21;0.27;18.15
2053;8.6;0.485;0.29;4.1
2054;8.6;0.485;0.29;4.1
2055;7.3;0.29;0.29;4.6
2056;6.8;0.21;0.27;18.15
2057;6.7;0.31;0.31;4.9
2058;7.3;0.29;0.37;8.3
2059;5.7;0.46;0.46;1.4
2060;6.8;0.28;0.44;11.5
2061;6.7;0.23;0.33;
2062;6.9;0.17;0.25;1.6
2063;7.6;0.18;0.36;2.4
2064;6.6;0.22;0.28;
2065;7.8;0.27;0.28;1.8
2066;7.7;0.28;0.29;4.3
2067;7.6;0.29;0.29;4.4
2068;5.7;0.32;0.18;1.4
2069;7.1;0.33;0.25;1.6
2070;7.3;0.34;0.3;1.3
2071;6.5;0.19;0.26;5.2
2072;6.6;0.23;0.27;
2073;6.6;0.27;0.29;5.3
2074;6.6;0.22;0.28;4.9
2075;7.6;0.18;0.36;2.4
2076;6.8;0.36;0.32;1.6
2077;7.0;0.22;0.39;2.1
2078;5.9;0.17;0.3;1.4
2079;7.4;0.45;0.32;7.1
2080;6.8;0.36;0.32;1.6
2081;7.5;0.42;0.14;10.7
2082;7.5;0.33;0.32;11.1
2083;9.4;0.3;0.32;10.7
2084;7.9;0.17;0.32;1.6
2085;7.9;0.17;0.32;1.6
2086;8.2;0.17;0.32;1.5
2087;8.3;0.17;0.31;
2088;8.7;0.15;0.3;1.6
2089;7.9;0.17;0.32;1.6
2090;7.2;0.25;0.19;8.0
2091;7.2;0.24;0.19;
2092;5.3;0.76;0.03;2.7
2093;6.6;0.22;0.53;15.1
2094;6.6;0.22;0.53;15.1
2095;8.4;0.28;0.4;8.9
2096;6.8;0.32;0.34;6.0
2097;6.7;0.24;0.33;12.3
2098;7.4;0.18;0.36;13.1
2099;6.0;0.16;0.3;6.7
2100;6.7;0.24;0.33;12.3
2101;6.8;0.28;0.35;2.3
2102;6.2;0.34;0.3;11.1
2103;6.0;0.27;0.15;1.5
2104;6.0;0.16;0.3;6.7
2105;6.8;0.32;0.34;6.0
2106;8.5;0.24;0.47;15.2
2107;8.1;0.24;0.33;10.2
2108;7.4;0.18;0.36;13.1
2109;7.7;0.23;0.31;
2110;6.5;0.22;0.25;17.1
2111;6.5;0.22;0.25;
2112;6.5;0.22;0.25;17.1
2113;5.7;0.33;0.15;1.9
2114;7.7;0.23;0.31;
2115;6.5;0.22;0.25;17.1
2116;6.8;0.2;0.27;1.2
2117;7.7;0.26;0.32;1.2
2118;6.4;0.2;0.32;3.1
2119;8.0;0.16;0.36;1.5
2120;6.8;0.25;0.27;10.7
2121;7.7;0.39;0.28;4.9
2122;6.9;0.26;0.33;
2123;6.8;0.25;0.27;10.7
2124;7.7;0.39;0.28;4.9
2125;6.0;0.28;0.22;12.15
2126;6.5;0.43;0.28;12.0
2127;9.1;0.33;0.38;
2128;5.9;0.5;0.05;2.6
2129;6.8;0.28;0.39;1.4
2130;7.0;0.35;0.24;1.9
2131;7.1;0.22;0.32;
2132;7.1;0.22;0.32;16.9
2133;8.3;0.24;0.27;2.1
2134;6.8;0.26;0.32;7.0
2135;7.2;0.16;0.26;7.1
2136;7.9;0.18;0.36;5.9
2137;7.2;0.16;0.26;7.1
2138;5.5;0.24;0.32;8.7
2139;7.1;0.33;0.64;13.2
2140;7.7;0.28;0.35;15.3
2141;7.7;0.28;0.35;15.3
2142;7.5;0.26;0.52;13.2
2143;6.5;0.14;0.32;2.7
2144;8.2;0.21;0.32;10.65
2145;7.2;0.2;0.31;10.0
2146;7.2;0.115;0.3;6.8
2147;6.4;0.29;0.2;15.6
2148;7.1;0.33;0.64;13.2
2149;6.8;0.24;0.34;5.1
2150;7.0;0.24;0.34;3.0
2151;7.7;0.28;0.35;15.3
2152;7.0;0.22;0.33;
2153;7.5;0.18;0.39;1.9
2154;9.8;0.93;0.45;8.6
2155;7.8;0.29;0.33;8.75
2156;7.9;0.28;0.32;3.6
2157;8.5;0.25;0.27;4.7
2158;7.4;0.18;0.27;1.3
2159;6.3;0.24;0.37;
2160;6.0;0.33;0.38;9.7
2161;6.8;0.37;0.28;
2162;9.9;0.49;0.23;2.4
2163;8.5;0.25;0.27;4.7
2164;8.4;0.22;0.28;18.8
2165;7.0;0.35;0.31;1.8
2166;7.0;0.35;0.31;1.8
2167;7.4;0.19;0.3;12.8
2168;7.4;0.19;0.3;12.8
2169;7.4;0.19;0.3;12.8
2170;7.4;0.19;0.3;12.8
2171;7.4;0.19;0.3;12.8
2172;6.9;0.32;0.13;7.8
2173;7.6;0.32;0.58;
2174;7.4;0.19;0.3;12.8
2175;7.4;0.19;0.3;12.8
2176;6.9;0.32;0.13;7.8
2177;6.0;0.34;0.24;5.4
2178;7.6;0.32;0.58;16.75
2179;7.7;0.24;0.31;
2180;8.0;0.36;0.43;10.1
2181;7.4;0.29;0.25;3.8
2182;6.6;0.32;0.27;10.9
2183;6.3;0.3;0.24;
2184;6.4;0.33;0.24;9.8
2185;7.5;0.18;0.31;11.7
2186;6.5;0.39;0.81;
2187;6.8;0.25;0.18;1.4
2188;6.4;0.18;0.32;9.6
2189;7.1;0.18;0.32;12.2
2190;7.6;0.27;0.42;2.6
2191;9.2;0.23;0.35;10.7
2192;7.9;0.28;0.41;4.9
2193;7.1;0.18;0.32;12.2
2194;6.4;0.18;0.32;9.6
2195;6.8;0.25;0.18;1.4
2196;7.0;0.22;0.26;1.1
2197;7.3;0.18;0.29;1.0
2198;7.1;0.26;0.19;8.2
2199;6.6;0.25;0.42;11.3
2200;6.4;0.24;0.23;7.3
2201;6.0;0.28;0.27;2.3
2202;7.1;0.26;0.19;8.2
2203;7.8;0.24;0.38;
2204;7.6;0.27;0.33;2.0
2205;7.7;0.39;0.34;10.0
2206;8.9;0.24;0.33;15.75
2207;6.6;0.23;0.24;3.9
2208;7.1;0.26;0.3;2.0
2209;7.0;0.32;0.35;1.5
2210;7.4;0.24;0.26;1.6
2211;6.9;0.21;0.33;
2212;7.0;0.32;0.35;1.5
2213;7.4;0.17;0.29;1.4
2214;7.1;0.26;0.3;
2215;8.5;0.28;0.34;13.8
2216;7.8;0.3;0.37;1.3
2217;8.1;0.25;0.38;3.8
2218;7.7;0.28;0.29;6.9
2219;6.5;0.24;0.36;2.2
2220;7.0;0.22;0.32;1.6
2221;8.5;0.28;0.34;13.8
2222;8.0;0.45;0.28;10.8
2223;6.9;0.23;0.33;12.8
2224;8.0;0.45;0.28;
2225;7.6;0.23;0.26;15.3
2226;7.7;0.28;0.58;
2227;7.7;0.27;0.61;12.0
2228;7.1;0.2;0.36;
2229;6.9;0.25;0.35;9.2
2230;7.1;0.2;0.36;11.6
2231;6.9;0.25;0.35;9.2
2232;8.4;0.2;0.31;2.8
2233;6.5;0.39;0.35;1.6
2234;7.2;0.23;0.38;6.1
2235;6.9;0.44;0.42;8.5
2236;7.1;0.28;0.19;7.8
2237;6.4;0.34;0.2;14.9
2238;6.1;0.15;0.29;6.2
2239;6.9;0.44;0.42;8.5
2240;7.2;0.29;0.18;8.2
2241;7.1;0.28;0.19;7.8
2242;6.1;0.23;0.45;10.6
2243;6.7;0.23;0.42;11.2
2244;7.0;0.36;0.14;11.6
2245;7.5;0.31;0.24;7.1
2246;6.4;0.34;0.2;14.9
2247;6.1;0.15;0.29;6.2
2248;7.4;0.2;0.29;
2249;6.3;0.27;0.18;
2250;9.2;0.34;0.54;17.3
2251;7.4;0.18;0.29;1.4
2252;7.2;0.29;0.2;7.7
2253;6.3;0.27;0.18;7.7
2254;6.2;0.26;0.19;3.4
2255;7.3;0.21;0.21;1.6
2256;7.1;0.14;0.35;1.4
2257;7.2;0.39;0.54;1.4
2258;7.6;0.48;0.28;
2259;7.2;0.39;0.54;1.4
2260;7.6;0.48;0.28;
2261;6.5;0.36;0.31;4.1
2262;8.5;0.25;0.31;
2263;6.9;0.3;0.21;15.7
2264;6.6;0.19;0.43;10.9
2265;6.9;0.3;0.21;15.7
2266;9.4;0.42;0.32;6.5
2267;6.6;0.19;0.43;10.9
2268;6.3;0.2;0.3;5.9
2269;8.5;0.19;0.56;17.3
2270;7.3;0.19;0.25;1.4
2271;6.7;0.25;0.26;13.5
2272;6.2;0.25;0.28;8.5
2273;6.1;0.46;0.32;6.2
2274;7.3;0.19;0.25;1.4
2275;7.5;0.29;0.26;14.95
2276;6.7;0.31;0.18;7.7
2277;7.4;0.14;0.3;
2278;6.7;0.31;0.18;7.7
2279;7.1;0.4;0.52;1.3
2280;6.4;0.16;0.25;1.3
2281;6.3;0.16;0.22;1.3
2282;7.4;0.33;0.26;15.6
2283;7.4;0.33;0.26;15.6
2284;7.4;0.33;0.26;15.6
2285;7.4;0.33;0.26;15.6
2286;6.6;0.41;0.24;4.9
2287;6.7;0.43;0.23;5.0
2288;7.4;0.33;0.26;15.6
2289;7.3;0.4;0.28;6.5
2290;7.4;0.18;0.24;1.4
2291;8.6;0.17;0.28;2.7
2292;6.5;0.32;0.23;1.2
